"","x"
"79","https://www.icpsr.umich.edu/web/ICPSR/studies/35023"
"80","https://www.icpsr.umich.edu/web/ICPSR/studies/3167"
"81","https://www.icpsr.umich.edu/web/ICPSR/studies/3443"
"82","https://www.icpsr.umich.edu/web/ICPSR/studies/4009"
"83","https://www.icpsr.umich.edu/web/ICPSR/studies/6387"
"84","https://www.icpsr.umich.edu/web/ICPSR/studies/27644"
"85","https://www.icpsr.umich.edu/web/ICPSR/studies/36391"
"86","https://www.icpsr.umich.edu/web/ICPSR/studies/35019"
"87","https://www.icpsr.umich.edu/web/ICPSR/studies/25114"
"88","https://www.icpsr.umich.edu/web/ICPSR/studies/4360"
"89","https://www.icpsr.umich.edu/web/ICPSR/studies/4466"
"90","https://www.icpsr.umich.edu/web/ICPSR/studies/9548"
"91","https://www.icpsr.umich.edu/web/ICPSR/studies/23328"
"92","https://www.icpsr.umich.edu/web/ICPSR/studies/7217"
"93","https://www.icpsr.umich.edu/web/ICPSR/studies/36124"
"94","https://www.icpsr.umich.edu/web/ICPSR/studies/3760"
"95","https://www.icpsr.umich.edu/web/ICPSR/studies/3749"
"96","https://www.icpsr.umich.edu/web/ICPSR/studies/23780"
"97","https://www.icpsr.umich.edu/web/ICPSR/studies/4201"
"98","https://www.icpsr.umich.edu/web/ICPSR/studies/4198"
"99","https://www.icpsr.umich.edu/web/ICPSR/studies/3173"
"100","https://www.icpsr.umich.edu/web/ICPSR/studies/36393"
"101","https://www.icpsr.umich.edu/web/ICPSR/studies/2908"
"102","https://www.icpsr.umich.edu/web/ICPSR/studies/4269"
"103","https://www.icpsr.umich.edu/web/ICPSR/studies/4202"
"104","https://www.icpsr.umich.edu/web/ICPSR/studies/4717"
"105","https://www.icpsr.umich.edu/web/ICPSR/studies/34582"
"106","https://www.icpsr.umich.edu/web/ICPSR/studies/4199"
"107","https://www.icpsr.umich.edu/web/ICPSR/studies/2538"
"108","https://www.icpsr.umich.edu/web/ICPSR/studies/4462"
"109","https://www.icpsr.umich.edu/web/ICPSR/studies/3165"
"110","https://www.icpsr.umich.edu/web/ICPSR/studies/2907"
"111","https://www.icpsr.umich.edu/web/ICPSR/studies/22402"
"112","https://www.icpsr.umich.edu/web/ICPSR/studies/3996"
"113","https://www.icpsr.umich.edu/web/ICPSR/studies/4200"
"114","https://www.icpsr.umich.edu/web/ICPSR/studies/4719"
"115","https://www.icpsr.umich.edu/web/ICPSR/studies/4443"
"116","https://www.icpsr.umich.edu/web/ICPSR/studies/36399"
"117","https://www.icpsr.umich.edu/web/ICPSR/studies/4285"
"118","https://www.icpsr.umich.edu/web/ICPSR/studies/33525"
"119","https://www.icpsr.umich.edu/web/ICPSR/studies/27646"
"120","https://www.icpsr.umich.edu/web/ICPSR/studies/25104"
"121","https://www.icpsr.umich.edu/web/ICPSR/studies/2832"
"122","https://www.icpsr.umich.edu/web/ICPSR/studies/4460"
"123","https://www.icpsr.umich.edu/web/ICPSR/studies/8214"
"124","https://www.icpsr.umich.edu/web/ICPSR/studies/4188"
"125","https://www.icpsr.umich.edu/web/ICPSR/studies/30765"
"126","https://www.icpsr.umich.edu/web/ICPSR/studies/4197"
"127","https://www.icpsr.umich.edu/web/ICPSR/studies/4715"
"128","https://www.icpsr.umich.edu/web/ICPSR/studies/3180"
"129","https://www.icpsr.umich.edu/web/ICPSR/studies/4196"
"130","https://www.icpsr.umich.edu/web/ICPSR/studies/4194"
"131","https://www.icpsr.umich.edu/web/ICPSR/studies/24801"
"132","https://www.icpsr.umich.edu/web/ICPSR/studies/8714"
"133","https://www.icpsr.umich.edu/web/ICPSR/studies/4195"
"134","https://www.icpsr.umich.edu/web/ICPSR/studies/4189"
"135","https://www.icpsr.umich.edu/web/ICPSR/studies/23783"
"136","https://www.icpsr.umich.edu/web/ICPSR/studies/22404"
"137","https://www.icpsr.umich.edu/web/ICPSR/studies/34584"
"138","https://www.icpsr.umich.edu/web/ICPSR/studies/27645"
"139","https://www.icpsr.umich.edu/web/ICPSR/studies/4193"
"140","https://www.icpsr.umich.edu/web/ICPSR/studies/4192"
"141","https://www.icpsr.umich.edu/web/ICPSR/studies/4190"
"142","https://www.icpsr.umich.edu/web/ICPSR/studies/23821"
"143","https://www.icpsr.umich.edu/web/ICPSR/studies/23800"
"144","https://www.icpsr.umich.edu/web/ICPSR/studies/22406"
"145","https://www.icpsr.umich.edu/web/ICPSR/studies/36117"
"146","https://www.icpsr.umich.edu/web/ICPSR/studies/35020"
"147","https://www.icpsr.umich.edu/web/ICPSR/studies/25107"
"148","https://www.icpsr.umich.edu/web/ICPSR/studies/23781"
"149","https://www.icpsr.umich.edu/web/ICPSR/studies/23600"
"150","https://www.icpsr.umich.edu/web/ICPSR/studies/23544"
"151","https://www.icpsr.umich.edu/web/ICPSR/studies/23441"
"152","https://www.icpsr.umich.edu/web/ICPSR/studies/33524"
"153","https://www.icpsr.umich.edu/web/ICPSR/studies/25108"
"154","https://www.icpsr.umich.edu/web/ICPSR/studies/4191"
"155","https://www.icpsr.umich.edu/web/ICPSR/studies/36790"
"156","https://www.icpsr.umich.edu/web/ICPSR/studies/36119"
"157","https://www.icpsr.umich.edu/web/ICPSR/studies/36789"
"158","https://www.icpsr.umich.edu/web/ICPSR/studies/35086"
"159","https://www.icpsr.umich.edu/web/ICPSR/studies/34583"
"160","https://www.icpsr.umich.edu/web/ICPSR/studies/30764"
"161","https://www.icpsr.umich.edu/web/ICPSR/studies/23841"
"162","https://www.icpsr.umich.edu/web/ICPSR/studies/23625"
"163","https://www.icpsr.umich.edu/web/ICPSR/studies/3000"
"164","https://www.icpsr.umich.edu/web/ICPSR/studies/36395"
"165","https://www.icpsr.umich.edu/web/ICPSR/studies/36397"
"166","https://www.icpsr.umich.edu/web/ICPSR/studies/33521"
"167","https://www.icpsr.umich.edu/web/ICPSR/studies/27642"
"168","https://www.icpsr.umich.edu/web/ICPSR/studies/23840"
"169","https://www.icpsr.umich.edu/web/ICPSR/studies/36394"
"170","https://www.icpsr.umich.edu/web/ICPSR/studies/35017"
"171","https://www.icpsr.umich.edu/web/ICPSR/studies/30761"
"172","https://www.icpsr.umich.edu/web/ICPSR/studies/36118"
"173","https://www.icpsr.umich.edu/web/ICPSR/studies/8657"
"174","https://www.icpsr.umich.edu/web/ICPSR/studies/36115"
"175","https://www.icpsr.umich.edu/web/ICPSR/studies/3997"
"176","https://www.icpsr.umich.edu/web/ICPSR/studies/34580"
"177","https://www.icpsr.umich.edu/web/ICPSR/studies/2742"
"178","https://www.icpsr.umich.edu/web/ICPSR/studies/4560"
"179","https://www.icpsr.umich.edu/web/ICPSR/studies/36794"
"180","https://www.icpsr.umich.edu/web/ICPSR/studies/23344"
"181","https://www.icpsr.umich.edu/web/ICPSR/studies/37064"
"182","https://www.icpsr.umich.edu/web/ICPSR/studies/37061"
"183","https://www.icpsr.umich.edu/web/ICPSR/studies/36835"
"184","https://www.icpsr.umich.edu/web/ICPSR/studies/4561"
"185","https://www.icpsr.umich.edu/web/ICPSR/studies/23346"
"186","https://www.icpsr.umich.edu/web/ICPSR/studies/22161"
"187","https://www.icpsr.umich.edu/web/ICPSR/studies/20100"
"188","https://www.icpsr.umich.edu/web/ICPSR/studies/4562"
"189","https://www.icpsr.umich.edu/web/ICPSR/studies/23342"
"190","https://www.icpsr.umich.edu/web/ICPSR/studies/23340"
"191","https://www.icpsr.umich.edu/web/ICPSR/studies/37060"
"192","https://www.icpsr.umich.edu/web/ICPSR/studies/23940"
"193","https://www.icpsr.umich.edu/web/ICPSR/studies/36791"
"194","https://www.icpsr.umich.edu/web/ICPSR/studies/3729"
"195","https://www.icpsr.umich.edu/web/ICPSR/studies/23338"
"196","https://www.icpsr.umich.edu/web/ICPSR/studies/23336"
"197","https://www.icpsr.umich.edu/web/ICPSR/studies/23334"
"198","https://www.icpsr.umich.edu/web/ICPSR/studies/23332"
"199","https://www.icpsr.umich.edu/web/ICPSR/studies/23330"
"200","https://www.icpsr.umich.edu/web/ICPSR/studies/4068"
"201","https://www.icpsr.umich.edu/web/ICPSR/studies/4461"
"202","https://www.icpsr.umich.edu/web/ICPSR/studies/23320"
"203","https://www.icpsr.umich.edu/web/ICPSR/studies/37062"
"204","https://www.icpsr.umich.edu/web/ICPSR/studies/27643"
"205","https://www.icpsr.umich.edu/web/ICPSR/studies/23960"
"206","https://www.icpsr.umich.edu/web/ICPSR/studies/23326"
"207","https://www.icpsr.umich.edu/web/ICPSR/studies/22405"
"208","https://www.icpsr.umich.edu/web/ICPSR/studies/7715"
"209","https://www.icpsr.umich.edu/web/ICPSR/studies/27651"
"210","https://www.icpsr.umich.edu/web/ICPSR/studies/4179"
"211","https://www.icpsr.umich.edu/web/ICPSR/studies/3446"
"212","https://www.icpsr.umich.edu/web/ICPSR/studies/24282"
"213","https://www.icpsr.umich.edu/web/ICPSR/studies/23366"
"214","https://www.icpsr.umich.edu/web/ICPSR/studies/23365"
"215","https://www.icpsr.umich.edu/web/ICPSR/studies/25106"
"216","https://www.icpsr.umich.edu/web/ICPSR/studies/3181"
"217","https://www.icpsr.umich.edu/web/ICPSR/studies/4716"
"218","https://www.icpsr.umich.edu/web/ICPSR/studies/24240"
"219","https://www.icpsr.umich.edu/web/ICPSR/studies/23364"
"220","https://www.icpsr.umich.edu/web/ICPSR/studies/23324"
"221","https://www.icpsr.umich.edu/web/ICPSR/studies/23322"
"222","https://www.icpsr.umich.edu/web/ICPSR/studies/30762"
"223","https://www.icpsr.umich.edu/web/ICPSR/studies/3762"
"224","https://www.icpsr.umich.edu/web/ICPSR/studies/23363"
"225","https://www.icpsr.umich.edu/web/ICPSR/studies/23362"
"226","https://www.icpsr.umich.edu/web/ICPSR/studies/23343"
"227","https://www.icpsr.umich.edu/web/ICPSR/studies/23341"
"228","https://www.icpsr.umich.edu/web/ICPSR/studies/22481"
"229","https://www.icpsr.umich.edu/web/ICPSR/studies/37056"
"230","https://www.icpsr.umich.edu/web/ICPSR/studies/36396"
"231","https://www.icpsr.umich.edu/web/ICPSR/studies/36392"
"232","https://www.icpsr.umich.edu/web/ICPSR/studies/35018"
"233","https://www.icpsr.umich.edu/web/ICPSR/studies/4351"
"234","https://www.icpsr.umich.edu/web/ICPSR/studies/3164"
"235","https://www.icpsr.umich.edu/web/ICPSR/studies/2905"
"236","https://www.icpsr.umich.edu/web/ICPSR/studies/23361"
"237","https://www.icpsr.umich.edu/web/ICPSR/studies/23347"
"238","https://www.icpsr.umich.edu/web/ICPSR/studies/23345"
"239","https://www.icpsr.umich.edu/web/ICPSR/studies/23329"
"240","https://www.icpsr.umich.edu/web/ICPSR/studies/6792"
"241","https://www.icpsr.umich.edu/web/ICPSR/studies/37059"
"242","https://www.icpsr.umich.edu/web/ICPSR/studies/36400"
"243","https://www.icpsr.umich.edu/web/ICPSR/studies/36116"
"244","https://www.icpsr.umich.edu/web/ICPSR/studies/33522"
"245","https://www.icpsr.umich.edu/web/ICPSR/studies/4463"
"246","https://www.icpsr.umich.edu/web/ICPSR/studies/20160"
"247","https://www.icpsr.umich.edu/web/ICPSR/studies/35022"
"248","https://www.icpsr.umich.edu/web/ICPSR/studies/4286"
"249","https://www.icpsr.umich.edu/web/ICPSR/studies/9572"
"250","https://www.icpsr.umich.edu/web/ICPSR/studies/7743"
"251","https://www.icpsr.umich.edu/web/ICPSR/studies/35016"
"252","https://www.icpsr.umich.edu/web/ICPSR/studies/28541"
"253","https://www.icpsr.umich.edu/web/ICPSR/studies/4067"
"254","https://www.icpsr.umich.edu/web/ICPSR/studies/23339"
"255","https://www.icpsr.umich.edu/web/ICPSR/studies/23337"
"256","https://www.icpsr.umich.edu/web/ICPSR/studies/23335"
"257","https://www.icpsr.umich.edu/web/ICPSR/studies/23333"
"258","https://www.icpsr.umich.edu/web/ICPSR/studies/23331"
"259","https://www.icpsr.umich.edu/web/ICPSR/studies/23327"
"260","https://www.icpsr.umich.edu/web/ICPSR/studies/23325"
"261","https://www.icpsr.umich.edu/web/ICPSR/studies/23321"
"262","https://www.icpsr.umich.edu/web/ICPSR/studies/9470"
"263","https://www.icpsr.umich.edu/web/ICPSR/studies/8631"
"264","https://www.icpsr.umich.edu/web/ICPSR/studies/36123"
"265","https://www.icpsr.umich.edu/web/ICPSR/studies/3989"
"266","https://www.icpsr.umich.edu/web/ICPSR/studies/2565"
"267","https://www.icpsr.umich.edu/web/ICPSR/studies/3734"
"268","https://www.icpsr.umich.edu/web/ICPSR/studies/23323"
"269","https://www.icpsr.umich.edu/web/ICPSR/studies/9336"
"270","https://www.icpsr.umich.edu/web/ICPSR/studies/9163"
"271","https://www.icpsr.umich.edu/web/ICPSR/studies/4464"
"272","https://www.icpsr.umich.edu/web/ICPSR/studies/36792"
"273","https://www.icpsr.umich.edu/web/ICPSR/studies/36114"
"274","https://www.icpsr.umich.edu/web/ICPSR/studies/34581"
"275","https://www.icpsr.umich.edu/web/ICPSR/studies/25102"
"276","https://www.icpsr.umich.edu/web/ICPSR/studies/4267"
"277","https://www.icpsr.umich.edu/web/ICPSR/studies/3998"
"278","https://www.icpsr.umich.edu/web/ICPSR/studies/9226"
"279","https://www.icpsr.umich.edu/web/ICPSR/studies/36793"
"280","https://www.icpsr.umich.edu/web/ICPSR/studies/28464"
"281","https://www.icpsr.umich.edu/web/ICPSR/studies/4714"
"282","https://www.icpsr.umich.edu/web/ICPSR/studies/37063"
"283","https://www.icpsr.umich.edu/web/ICPSR/studies/37058"
"284","https://www.icpsr.umich.edu/web/ICPSR/studies/37057"
"285","https://www.icpsr.umich.edu/web/ICPSR/studies/35483"
"286","https://www.icpsr.umich.edu/web/ICPSR/studies/34587"
"287","https://www.icpsr.umich.edu/web/ICPSR/studies/34579"
"288","https://www.icpsr.umich.edu/web/ICPSR/studies/26061"
"289","https://www.icpsr.umich.edu/web/ICPSR/studies/6507"
"290","https://www.icpsr.umich.edu/web/ICPSR/studies/3131"
"291","https://www.icpsr.umich.edu/web/ICPSR/studies/25502"
"292","https://www.icpsr.umich.edu/web/ICPSR/studies/4652"
"293","https://www.icpsr.umich.edu/web/ICPSR/studies/25501"
"294","https://www.icpsr.umich.edu/web/ICPSR/studies/2684"
"295","https://www.icpsr.umich.edu/web/ICPSR/studies/7607"
"296","https://www.icpsr.umich.edu/web/ICPSR/studies/9580"
"297","https://www.icpsr.umich.edu/web/ICPSR/studies/4245"
"298","https://www.icpsr.umich.edu/web/ICPSR/studies/7252"
"299","https://www.icpsr.umich.edu/web/ICPSR/studies/3740"
"300","https://www.icpsr.umich.edu/web/ICPSR/studies/25503"
"301","https://www.icpsr.umich.edu/web/ICPSR/studies/20240"
"302","https://www.icpsr.umich.edu/web/ICPSR/studies/9673"
"303","https://www.icpsr.umich.edu/web/ICPSR/studies/6230"
"304","https://www.icpsr.umich.edu/web/ICPSR/studies/9295"
"305","https://www.icpsr.umich.edu/web/ICPSR/studies/8476"
"306","https://www.icpsr.umich.edu/web/ICPSR/studies/7218"
"307","https://www.icpsr.umich.edu/web/ICPSR/studies/9093"
"308","https://www.icpsr.umich.edu/web/ICPSR/studies/2760"
"309","https://www.icpsr.umich.edu/web/ICPSR/studies/8713"
"310","https://www.icpsr.umich.edu/web/ICPSR/studies/7863"
"311","https://www.icpsr.umich.edu/web/ICPSR/studies/6636"
"312","https://www.icpsr.umich.edu/web/ICPSR/studies/21440"
"313","https://www.icpsr.umich.edu/web/ICPSR/studies/6264"
"314","https://www.icpsr.umich.edu/web/ICPSR/studies/7709"
"315","https://www.icpsr.umich.edu/web/ICPSR/studies/6041"
"316","https://www.icpsr.umich.edu/web/ICPSR/studies/21500"
"317","https://www.icpsr.umich.edu/web/ICPSR/studies/9549"
"318","https://www.icpsr.umich.edu/web/ICPSR/studies/9475"
"319","https://www.icpsr.umich.edu/web/ICPSR/studies/9090"
"320","https://www.icpsr.umich.edu/web/ICPSR/studies/21940"
"321","https://www.icpsr.umich.edu/web/ICPSR/studies/8178"
"322","https://www.icpsr.umich.edu/web/ICPSR/studies/2693"
"323","https://www.icpsr.umich.edu/web/ICPSR/studies/2407"
"324","https://www.icpsr.umich.edu/web/ICPSR/studies/25383"
"325","https://www.icpsr.umich.edu/web/ICPSR/studies/8432"
"326","https://www.icpsr.umich.edu/web/ICPSR/studies/2282"
"327","https://www.icpsr.umich.edu/web/ICPSR/studies/35157"
"328","https://www.icpsr.umich.edu/web/ICPSR/studies/36824"
"329","https://www.icpsr.umich.edu/web/ICPSR/studies/8300"
"330","https://www.icpsr.umich.edu/web/ICPSR/studies/29182"
"331","https://www.icpsr.umich.edu/web/ICPSR/studies/2936"
"332","https://www.icpsr.umich.edu/web/ICPSR/studies/35120"
"333","https://www.icpsr.umich.edu/web/ICPSR/studies/4294"
"334","https://www.icpsr.umich.edu/web/ICPSR/studies/8233"
"335","https://www.icpsr.umich.edu/web/ICPSR/studies/7212"
"336","https://www.icpsr.umich.edu/web/ICPSR/studies/4293"
"337","https://www.icpsr.umich.edu/web/ICPSR/studies/38075"
"338","https://www.icpsr.umich.edu/web/ICPSR/studies/38074"
"339","https://www.icpsr.umich.edu/web/ICPSR/studies/38073"
"340","https://www.icpsr.umich.edu/web/ICPSR/studies/38072"
"341","https://www.icpsr.umich.edu/web/ICPSR/studies/38071"
"342","https://www.icpsr.umich.edu/web/ICPSR/studies/38070"
"343","https://www.icpsr.umich.edu/web/ICPSR/studies/38069"
"344","https://www.icpsr.umich.edu/web/ICPSR/studies/38068"
"345","https://www.icpsr.umich.edu/web/ICPSR/studies/38067"
"346","https://www.icpsr.umich.edu/web/ICPSR/studies/38066"
"347","https://www.icpsr.umich.edu/web/ICPSR/studies/38088"
"348","https://www.icpsr.umich.edu/web/ICPSR/studies/38087"
"349","https://www.icpsr.umich.edu/web/ICPSR/studies/38086"
"350","https://www.icpsr.umich.edu/web/ICPSR/studies/38084"
"351","https://www.icpsr.umich.edu/web/ICPSR/studies/38083"
"352","https://www.icpsr.umich.edu/web/ICPSR/studies/38082"
"353","https://www.icpsr.umich.edu/web/ICPSR/studies/38081"
"354","https://www.icpsr.umich.edu/web/ICPSR/studies/38080"
"355","https://www.icpsr.umich.edu/web/ICPSR/studies/38079"
"356","https://www.icpsr.umich.edu/web/ICPSR/studies/38078"
"357","https://www.icpsr.umich.edu/web/ICPSR/studies/38077"
"358","https://www.icpsr.umich.edu/web/ICPSR/studies/38076"
"359","https://www.icpsr.umich.edu/web/ICPSR/studies/38116"
"360","https://www.icpsr.umich.edu/web/ICPSR/studies/38115"
"361","https://www.icpsr.umich.edu/web/ICPSR/studies/38114"
"362","https://www.icpsr.umich.edu/web/ICPSR/studies/38113"
"363","https://www.icpsr.umich.edu/web/ICPSR/studies/38034"
"364","https://www.icpsr.umich.edu/web/ICPSR/studies/32701"
"365","https://www.icpsr.umich.edu/web/ICPSR/studies/36390"
"366","https://www.icpsr.umich.edu/web/ICPSR/studies/7222"
"367","https://www.icpsr.umich.edu/web/ICPSR/studies/30721"
"368","https://www.icpsr.umich.edu/web/ICPSR/studies/35119"
"369","https://www.icpsr.umich.edu/web/ICPSR/studies/9037"
"370","https://www.icpsr.umich.edu/web/ICPSR/studies/8192"
"371","https://www.icpsr.umich.edu/web/ICPSR/studies/8863"
"372","https://www.icpsr.umich.edu/web/ICPSR/studies/7535"
"373","https://www.icpsr.umich.edu/web/ICPSR/studies/9374"
"374","https://www.icpsr.umich.edu/web/ICPSR/studies/8660"
"375","https://www.icpsr.umich.edu/web/ICPSR/studies/7837"
"376","https://www.icpsr.umich.edu/web/ICPSR/studies/21941"
"377","https://www.icpsr.umich.edu/web/ICPSR/studies/9739"
"378","https://www.icpsr.umich.edu/web/ICPSR/studies/21942"
"379","https://www.icpsr.umich.edu/web/ICPSR/studies/6244"
"380","https://www.icpsr.umich.edu/web/ICPSR/studies/7836"
"381","https://www.icpsr.umich.edu/web/ICPSR/studies/7784"
"382","https://www.icpsr.umich.edu/web/ICPSR/studies/9927"
"383","https://www.icpsr.umich.edu/web/ICPSR/studies/7896"
"384","https://www.icpsr.umich.edu/web/ICPSR/studies/7566"
"385","https://www.icpsr.umich.edu/web/ICPSR/studies/7700"
"386","https://www.icpsr.umich.edu/web/ICPSR/studies/6461"
"387","https://www.icpsr.umich.edu/web/ICPSR/studies/7564"
"388","https://www.icpsr.umich.edu/web/ICPSR/studies/7565"
"389","https://www.icpsr.umich.edu/web/ICPSR/studies/6692"
"390","https://www.icpsr.umich.edu/web/ICPSR/studies/2766"
"391","https://www.icpsr.umich.edu/web/ICPSR/studies/7563"
"392","https://www.icpsr.umich.edu/web/ICPSR/studies/7562"
"393","https://www.icpsr.umich.edu/web/ICPSR/studies/7561"
"394","https://www.icpsr.umich.edu/web/ICPSR/studies/6907"
"395","https://www.icpsr.umich.edu/web/ICPSR/studies/4531"
"396","https://www.icpsr.umich.edu/web/ICPSR/studies/2154"
"397","https://www.icpsr.umich.edu/web/ICPSR/studies/13580"
"398","https://www.icpsr.umich.edu/web/ICPSR/studies/7559"
"399","https://www.icpsr.umich.edu/web/ICPSR/studies/7560"
"400","https://www.icpsr.umich.edu/web/ICPSR/studies/37107"
"401","https://www.icpsr.umich.edu/web/ICPSR/studies/21240"
"402","https://www.icpsr.umich.edu/web/ICPSR/studies/2573"
"403","https://www.icpsr.umich.edu/web/ICPSR/studies/13668"
"404","https://www.icpsr.umich.edu/web/ICPSR/studies/13608"
"405","https://www.icpsr.umich.edu/web/ICPSR/studies/26701"
"406","https://www.icpsr.umich.edu/web/ICPSR/studies/4596"
"407","https://www.icpsr.umich.edu/web/ICPSR/studies/23782"
"408","https://www.icpsr.umich.edu/web/ICPSR/studies/6153"
"409","https://www.icpsr.umich.edu/web/ICPSR/studies/6906"
"410","https://www.icpsr.umich.edu/web/ICPSR/studies/7974"
"411","https://www.icpsr.umich.edu/web/ICPSR/studies/29621"
"412","https://www.icpsr.umich.edu/web/ICPSR/studies/34061"
"413","https://www.icpsr.umich.edu/web/ICPSR/studies/22921"
"414","https://www.icpsr.umich.edu/web/ICPSR/studies/2825"
"415","https://www.icpsr.umich.edu/web/ICPSR/studies/3903"
"416","https://www.icpsr.umich.edu/web/ICPSR/studies/22926"
"417","https://www.icpsr.umich.edu/web/ICPSR/studies/3048"
"418","https://www.icpsr.umich.edu/web/ICPSR/studies/22925"
"419","https://www.icpsr.umich.edu/web/ICPSR/studies/22924"
"420","https://www.icpsr.umich.edu/web/ICPSR/studies/34650"
"421","https://www.icpsr.umich.edu/web/ICPSR/studies/22927"
"422","https://www.icpsr.umich.edu/web/ICPSR/studies/22901"
"423","https://www.icpsr.umich.edu/web/ICPSR/studies/13581"
