"","id","downloads","citations","views","total_checks","passed_checks","warning_checks","failed_checks","failures"
"18","doi%3A10.5063%2FAA%2Fdpennington.288.4",16,0,272,16,12,2,2,"The document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA publication date is not present.identification"
"19","doi%3A10.6085%2FAA%2FHMS001_020MXTI004R00_20070731.50.1",1,0,69,20,14,3,3,"The abstract is only 59 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"20","doi%3A10.6085%2FAA%2FIRMOXX_XXXITBPXMSR00_20060101.50.3",1,0,76,20,14,3,3,"The abstract is only 40 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"21","doi%3A10.5063%2FF1NG4NK5",0,0,0,16,14,0,2,"The number of words in the dataset's title is 4. The minimum required word count is 7.identificationThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identification"
"22","doi%3A10.6085%2FAA%2FWES001_030MTBD000R00_20081020.50.1",0,0,66,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"23","doi%3A10.6085%2FAA%2FLB15XX_015MTV2001R00_20110517.50.1",1,0,13,20,14,3,3,"The abstract is only 61 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"24","doi%3A10.6085%2FAA%2FISOPXX_XXXITBDXLZR01_20030519.50.5",1,0,78,20,13,4,3,"The abstract is only 62 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"25","doi%3A10.6085%2FAA%2FTMBX00_XXXITBDXMSR02_19991025.50.4",0,0,86,20,13,4,3,"The abstract is only 65 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"26","doi%3A10.5063%2FF11834MC",332,0,240,16,9,3,4,"The number of words in the dataset's title is 1. The minimum required word count is 7.identificationThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA publication date is not present.identificationA methods section is not present, so unable to check method step descriptions word count.interpretation"
"27","doi%3A10.6085%2FAA%2FJOE001_023MTBD022R00_20090311.50.1",0,0,70,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"28","doi%3A10.6085%2FAA%2FJALXXX_015MTBD003R00_20080813.50.1",0,0,9,20,14,3,3,"The abstract is only 59 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"29","doi%3A10.5063%2FAA%2Fconnolly.252.3",0,0,193,20,12,4,4,"The number of words in the dataset's title is 32. The maximum recommended word count is 20.identificationThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA publication date is not present.identificationA methods section is not present, so unable to check method step descriptions word count.interpretation"
"30","doi%3A10.5063%2FAA%2Fklr.42.3",0,0,220,20,14,3,3,"No abstract sections were found.discoveryThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA publication date is not present.identification"
"31","doi%3A10.6085%2FAA%2FBIG001_026MTBD000R00_20100414.50.1",4,0,68,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"32","doi%3A10.6085%2FAA%2FHAZXXX_015MTBD003R00_20020607.50.5",0,0,78,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"33","doi%3A10.6085%2FAA%2FHMS001_020MXTI004R00_20080123.50.1",0,0,69,20,14,3,3,"The abstract is only 59 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"34","doi%3A10.5063%2FAA%2Fdpennington.182.2",17,0,245,16,12,2,2,"The document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA publication date is not present.identification"
"35","doi%3A10.6085%2FAA%2FISERXX_XXXITBPXMSR00_20090101.50.3",0,0,74,20,14,3,3,"The abstract is only 40 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"36","doi%3A10.6085%2FAA%2FESA001_025MTBD006R00_20081021.50.1",0,0,69,20,14,3,3,"The abstract is only 57 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"37","doi%3A10.6085%2FAA%2FTRLXXX_015MTBD009R00_20070612.50.6",0,0,81,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"38","doi%3A10.6085%2FAA%2FSCPXXX_015MTBD003R00_20091204.50.1",0,0,10,20,14,3,3,"The abstract is only 59 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"39","doi%3A10.6085%2FAA%2FCTNXXX_015MTBD009R00_20100621.50.1",0,0,13,20,14,3,3,"The abstract is only 59 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"40","urn%3Auuid%3Aa8befd77-39fd-4cc9-a34f-7366ded0f6d6",27,0,171,16,11,3,2,"The abstract is only 91 word(s) long but 100 or more is required.discoveryA methods section is not present, so unable to check method step descriptions word count.interpretation"
"41","doi%3A10.6085%2FAA%2FMB042X_042MTBD022R00_20060707.50.6",0,0,22,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"42","doi%3A10.5063%2FAA%2Fobfs.349.2",0,0,53,NA,NA,NA,NA,""
"43","doi%3A10.6085%2FAA%2FFCKX00_XXXITBDXHSR01_20080219.50.2",1,0,74,20,13,4,3,"The abstract is only 79 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"44","doi%3A10.5063%2FAA%2Fconnolly.120.5",0,0,255,16,8,3,5,"The abstract is only 43 word(s) long but 100 or more is required.discoveryThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA description of this dataset's temporal coverage is not present.discoveryA publication date is not present.identificationA methods section is not present, so unable to check method step descriptions word count.interpretation"
"45","doi%3A10.6085%2FAA%2FFCKX00_XXXITV2XMMR01_20090411.50.2",5,0,80,20,13,4,3,"The abstract is only 81 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"46","doi%3A10.5063%2FAA%2Fmbracke.4.1",0,0,158,16,9,3,4,"The abstract is only 9 word(s) long but 100 or more is required.discoveryThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA publication date is not present.identificationA methods section is not present, so unable to check method step descriptions word count.interpretation"
"47","doi%3A10.5063%2FAA%2Fwetlandsofindia.35.1",0,0,24,NA,NA,NA,NA,""
"48","doi%3A10.6085%2FAA%2FJOE001_023MTBD022R00_20080603.50.1",1,0,70,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"49","doi%3A10.5063%2FAA%2Fnrs.851.1",0,0,139,16,11,1,4,"The abstract is only 24 word(s) long but 100 or more is required.discoveryThe number of words in the dataset's title is 5. The minimum recommended word count is 7.identificationThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identification1 of 1 method step descriptions have fewer than the minimum recommended 7 wordsinterpretation"
"50","doi%3A10.6085%2FAA%2FSCPXXX_015ADCP015R00_20091109.50.1",1,0,11,20,15,2,3,"The abstract is only 68 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"51","doi%3A10.5063%2FAA%2Fdpennington.21.3",27,0,205,16,12,2,2,"The document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA publication date is not present.identification"
"52","doi%3A10.6085%2FAA%2FJOE001_023MTBD005R00_20080718.50.1",1,0,69,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"53","doi%3A10.5063%2FAA%2Fnrs.425.1",0,0,137,16,10,1,5,"The abstract is only 22 word(s) long but 100 or more is required.discoveryThe number of words in the dataset's title is 4. The minimum required word count is 7.identificationThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA publication date is not present.identification1 of 1 method step descriptions have fewer than the minimum recommended 7 wordsinterpretation"
"54","doi%3A10.6085%2FAA%2FYBHX00_XXXITBDXHSR01_20080606.50.1",1,0,5,20,13,4,3,"The abstract is only 79 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"55","doi%3A10.6085%2FAA%2FSUN001_026MTBD015R00_20090925.50.1",0,0,67,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"56","doi%3A10.6085%2FAA%2FRKPX00_XXXITV2XHSR01_20100419.50.1",0,0,62,20,13,4,3,"The abstract is only 81 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"57","doi%3A10.6085%2FAA%2FLOP001_026MTBD004R00_20070605.50.1",0,0,70,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"58","doi%3A10.6085%2FAA%2FJOE001_023MTBD022R00_20081031.50.1",5,0,75,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"59","doi%3A10.6085%2FAA%2FLOP001_026MHP2004R00_20090728.50.1",0,0,71,20,14,3,3,"The abstract is only 60 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"60","nrs.899.1",0,0,155,16,13,2,1,"The document is not licensed with a Creative Commons CC-0 or CC-BY license.identification"
"61","doi%3A10.6085%2FAA%2FARGXXX_015MTBD014R00_20110421.50.1",0,0,12,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"62","peggym.1035.1",0,0,16,16,10,4,2,"The document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA publication date is not present.identification"
"63","nceas.991.1",0,0,188,16,10,4,2,"The abstract is only 48 word(s) long but 100 or more is required.discoveryThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identification"
"64","doi%3A10.6085%2FAA%2FVALXXX_015MTBD003R00_20050416.50.9",0,0,24,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"65","doi%3A10.6085%2FAA%2FTPT003_019MXTI010R00_20020708.50.5",0,0,77,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"66","doi%3A10.6085%2FAA%2FHMS001_020MXTI004R00_20020627.50.5",0,0,78,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"67","doi%3A10.6085%2FAA%2FSQP001_021MXTI020R00_20091001.50.1",0,0,70,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"68","doi%3A10.6085%2FAA%2FYBHX00_XXXITBDXMMR02_20090111.50.1",2,0,63,20,13,4,3,"The abstract is only 79 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"69","doi%3A10.5063%2FAA%2Fwolkovich.3.16",694,0,841,20,11,6,3,"The document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA publication date is not present.identificationA methods section is not present, so unable to check method step descriptions word count.interpretation"
"70","doi%3A10.6085%2FAA%2FSHLX00_XXXIBTNXTSR01_20091201.50.1",1,0,62,20,13,4,3,"The abstract is only 70 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"71","doi%3A10.6085%2FAA%2FFCKX00_XXXITV2XLSR03_20100711.50.1",0,0,63,20,13,4,3,"The abstract is only 81 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"72","doi%3A10.5063%2FAA%2Fobfs.288.3",0,0,100,NA,NA,NA,NA,""
"73","doi%3A10.6085%2FAA%2FBBYX00_XXXITV2XMMR01_20081016.50.1",4,0,62,20,13,4,3,"The abstract is only 81 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"74","doi%3A10.6085%2FAA%2FBBYX00_XXXITV2XMMR03_20100712.50.1",5,0,65,20,13,4,3,"The abstract is only 81 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"75","doi%3A10.5063%2FAA%2Fknb.85.2",0,0,187,16,10,3,3,"The number of words in the dataset's title is 1. The minimum required word count is 7.identificationThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA publication date is not present.identification"
"76","doi%3A10.6085%2FAA%2FCARX00_XXXIBTNXTSR01_20090922.50.1",0,0,69,20,13,4,3,"The abstract is only 70 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"77","doi%3A10.6085%2FAA%2FLB15XX_015MXTI009R00_20060720.50.1",1,0,3,20,14,3,3,"The abstract is only 59 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"78","doi%3A10.6085%2FAA%2FPELXXX_015MTBD009R00_20111120.50.1",1,0,13,20,14,3,3,"The abstract is only 59 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"79","doi%3A10.6085%2FAA%2FSSM001_022MXTI014R00_20021119.50.1",1,0,67,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"80","doi%3A10.5063%2FAA%2Fiebasara.240.1",0,0,156,20,8,4,8,"The abstract is only 0 word(s) long but 100 or more is required.discoveryError in strsplit(datasetTitle, ""\\s+"", perl = T) : non-character argumentCalls: check -> unlist -> strsplitExecution haltedERRORREQUIREDidentificationThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA description of this dataset's temporal coverage is not present.discoveryA textual description of the geographic coverage of this dataset is not present.discoveryA set of bounding coordinates describing the geographic coverage of this dataset is not present.discoveryA publication date is not present.identificationA methods section is not present, so unable to check method step descriptions word count.interpretation"
"81","doi%3A10.6085%2FAA%2FSSM001_022MTBD021R00_20070117.50.1",0,0,67,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"82","doi%3A10.6085%2FAA%2FCBLX00_XXXITV2XMMR01_20100715.50.2",3,0,77,20,13,4,3,"The abstract is only 81 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"83","doi%3A10.6085%2FAA%2FGHVX00_XXXITBDXLSR02_20060515.50.5",1,0,80,20,13,4,3,"The abstract is only 60 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"84","doi%3A10.5063%2FAA%2Fnceas.904.12",328,0,NA,20,11,5,4,"The abstract is only 11 word(s) long but 100 or more is required.discoveryThe number of words in the dataset's title is 4. The minimum required word count is 7.identificationThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA methods section is not present, so unable to check method step descriptions word count.interpretation"
"85","doi%3A10.6085%2FAA%2FYBHX00_XXXITBDXLSR02_20041111.50.6",0,0,78,20,13,4,3,"The abstract is only 60 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"86","doi%3A10.6085%2FAA%2FJALXXX_015MTBD003R00_20080630.50.1",0,0,11,20,14,3,3,"The abstract is only 59 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"87","doi%3A10.6085%2FAA%2Fpisco_intertidal.80.12",838,0,NA,20,13,3,4,"The abstract is only 33 word(s) long but 100 or more is required.discoveryThe number of words in the dataset's title is 6. The minimum recommended word count is 7.identificationThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA publication date is not present.identification"
"88","doi%3A10.5063%2FF1PC3085",114,0,418,16,15,0,1,"The document is not licensed with a Creative Commons CC-0 or CC-BY license.identification"
"89","doi%3A10.6085%2FAA%2FHMS001_020MXTI018R00_20070914.50.1",0,0,72,20,14,3,3,"The abstract is only 59 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"90","doi%3A10.6085%2FAA%2FCAN001_011MTBD011R00_20071002.50.1",1,0,70,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"91","doi%3A10.5063%2FAA%2Fnceas.944.1",0,0,195,16,9,3,4,"The abstract is only 46 word(s) long but 100 or more is required.discoveryThe number of words in the dataset's title is 3. The minimum required word count is 7.identificationThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA methods section is not present, so unable to check method step descriptions word count.interpretation"
"92","doi%3A10.6085%2FAA%2FCMRX00_XXXITV2XLSR03_20100420.50.1",3,0,64,20,13,4,3,"The abstract is only 81 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"93","doi%3A10.6085%2FAA%2FKL027X_027MTBD012R00_20050628.50.5",2,0,19,20,14,3,3,"The abstract is only 57 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"94","doi%3A10.6085%2FAA%2FLB30XX_030MXTI009R00_20030513.50.5",2,0,79,20,14,3,3,"The abstract is only 57 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"95","doi%3A10.5063%2FAA%2Fbowdish.95.3",0,0,645,16,9,3,4,"The abstract is only 62 word(s) long but 100 or more is required.discoveryThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA publication date is not present.identificationA methods section is not present, so unable to check method step descriptions word count.interpretation"
"96","doi%3A10.5063%2FF1HQ3X30",34,0,234,16,12,2,2,"The number of words in the dataset's title is 4. The minimum required word count is 7.identificationThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identification"
"97","doi%3A10.6085%2FAA%2FYB15XX_015ADCP019R01_20080626.50.1",1,0,69,20,15,2,3,"The abstract is only 68 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"98","doi%3A10.6085%2FAA%2FLB15XX_015MXTI001R00_20100510.50.2",1,0,82,20,14,3,3,"The abstract is only 59 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"99","doi%3A10.6085%2FAA%2FBIG001_026MTBD004R00_20091219.50.1",2,0,72,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"100","doi%3A10.6085%2FAA%2FGHVX00_XXXITBDXLSR01_20070812.50.2",1,0,78,20,13,4,3,"The abstract is only 79 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"101","doi%3A10.6085%2FAA%2FBIG001_026MHP2004R00_20090729.50.1",2,0,69,20,14,3,3,"The abstract is only 60 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"102","doi%3A10.6085%2FAA%2FCTNXXX_015MTBD009R00_20090316.50.1",0,0,12,20,14,3,3,"The abstract is only 59 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"103","doi%3A10.6085%2FAA%2FJOE001_023MTBD000R00_20050623.50.10",0,0,97,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"104","doi%3A10.6085%2FAA%2FALEXXX_015MTBD003R00_20090607.50.1",1,0,13,20,14,3,3,"The abstract is only 59 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"105","doi%3A10.6085%2FAA%2FWRK001_024MTBD000R00_20080704.50.1",0,0,65,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"106","doi%3A10.6085%2FAA%2FLAC001_023MTBD023R00_20060831.50.9",0,0,33,20,14,3,3,"The abstract is only 59 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"107","doi%3A10.6085%2FAA%2FGHVX00_XXXITV2XHSR01_20101206.50.2",0,0,73,20,13,4,3,"The abstract is only 81 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"108","doi%3A10.6085%2FAA%2FLB15XX_015MXTI014R00_20030513.50.5",1,0,79,20,14,3,3,"The abstract is only 57 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"109","farshid25.36.1",0,0,238,16,6,4,6,"No abstract sections were found.discoveryThe number of words in the dataset's title is 3. The minimum required word count is 7.identificationThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA description of this dataset's temporal coverage is not present.discoveryA publication date is not present.identificationA methods section is not present, so unable to check method step descriptions word count.interpretation"
"110","doi%3A10.6085%2FAA%2Fpisco_intertidal.84.8",813,0,NA,20,14,3,3,"The abstract is only 34 word(s) long but 100 or more is required.discoveryThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA publication date is not present.identification"
"111","doi%3A10.6085%2FAA%2FHAZXXX_015MTBD003R00_20000802.50.5",1,0,81,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"112","doi%3A10.6085%2FAA%2FHMS001_020MXTI004R00_20100924.50.1",0,0,69,20,14,3,3,"The abstract is only 59 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"113","doi%3A10.6085%2FAA%2FFCKX00_XXXIBTNXMBR21_20050425.50.1",1,0,9,20,14,4,2,"More than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"114","doi%3A10.6085%2FAA%2FSHB001_021MXTI005R00_20091119.50.1",2,0,70,20,14,3,3,"The abstract is only 59 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"115","doi%3A10.6085%2FAA%2FLB15XX_015MTBD004R00_20000620.50.5",3,0,80,20,14,3,3,"The abstract is only 57 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"116","doi%3A10.5063%2FAA%2Fdpennington.265.2",17,0,224,16,12,2,2,"The document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA publication date is not present.identification"
"117","doi%3A10.6085%2FAA%2FWES001_030MTBD011R00_20100203.50.1",0,0,68,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"118","doi%3A10.6085%2FAA%2FTPT007_060MHP2005R00_20070525.50.1",0,0,66,20,14,3,3,"The abstract is only 60 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"119","doi%3A10.6085%2FAA%2FWRK001_024MTBD000R00_20070117.50.1",0,0,65,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"120","doi%3A10.6085%2FAA%2FSCPXXX_015ADCP015R00_20110228.50.2",1,0,13,20,15,2,3,"The abstract is only 68 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
